Ants,Larva,Food
243.5,191.5,1.0
243.8,193.4,0.4
240.5,193.0,1.6
238.1,190.4,1.7
235.0,186.2,0.8
230.5,186.8,0.9
227.0,185.3,0.9
225.2,188.4,1.4
223.1,184.8,0.5
220.2,181.3,1.7
217.9,179.2,0.6
212.5,170.5,1.5
206.6,169.1,1.3
201.4,163.1,0.9
200.3,161.5,0.9
202.2,159.5,1.0
201.0,160.4,1.2
202.1,153.2,1.1
202.5,151.2,1.9
202.1,150.6,1.4
206.5,148.4,2.5
209.8,151.7,3.0
211.8,155.7,2.4
216.1,159.8,1.5
216.7,160.8,1.2
218.4,156.8,0.9
219.3,155.9,0.9
223.2,155.4,1.5
226.2,153.9,4.1
227.4,158.5,1.2
225.3,165.9,1.2
225.6,171.4,1.4
226.0,172.4,2.2
226.5,175.7,0.3
228.0,174.1,0.8
231.1,171.3,3.5
234.1,170.4,2.2
233.8,171.2,1.8
236.2,172.6,3.8
235.5,174.1,3.6
235.6,176.8,2.0
234.3,179.4,2.1
232.5,178.7,2.7
230.8,177.0,3.7
230.8,174.8,4.9
229.6,170.5,3.9
233.2,168.1,4.7
235.0,171.6,5.0
234.0,175.9,5.3
231.3,177.3,5.6
229.0,179.2,6.2
228.5,182.5,6.2
228.2,187.1,6.3
228.0,183.1,6.0
227.0,181.0,5.2
223.5,178.8,5.9
224.5,177.5,5.4
224.9,172.7,6.3
227.8,173.5,6.9
227.1,175.8,7.3
226.2,174.5,7.6
225.2,175.5,7.7
226.8,173.8,9.4
225.4,169.7,9.0
224.1,168.5,10.4
226.1,170.8,11.4
224.9,171.8,10.2
226.3,173.9,11.1
224.2,171.8,12.5
223.9,179.1,13.6
227.5,179.8,14.1
230.7,182.0,15.2
230.8,176.8,15.7
228.0,180.6,16.1
231.4,175.0,17.2
230.6,173.9,17.1
233.2,170.1,18.3
230.5,176.1,19.2
229.3,174.9,19.1
231.1,173.4,19.2
231.7,180.3,19.0
231.5,184.0,18.1
233.0,184.2,19.3
231.0,185.6,21.4
