Ants,Larva,Food
166.9,92.7,6.7
166.5,97.0,5.2
167.4,97.7,2.0
165.6,91.6,2.3
168.8,88.1,0.7
169.9,86.6,1.0
169.4,81.8,5.8
168.8,79.4,4.3
162.1,81.0,8.5
162.9,80.7,2.9
162.6,83.7,3.8
160.6,84.0,4.1
158.5,85.6,2.9
156.4,90.7,2.0
153.4,86.0,3.8
151.3,81.3,2.0
150.6,80.6,2.8
145.1,73.8,2.1
147.4,70.2,4.7
145.8,71.3,5.7
146.0,77.0,4.3
146.4,82.3,4.8
143.8,86.7,5.7
143.0,85.3,1.6
142.5,82.7,1.9
136.8,73.7,0.4
134.0,63.0,3.2
129.9,60.9,5.6
127.8,59.3,8.4
124.0,57.6,8.1
118.7,58.4,8.3
113.4,60.8,7.8
111.2,61.2,5.8
111.4,63.0,4.8
110.8,63.9,9.0
114.5,70.3,5.3
115.3,74.1,3.7
115.6,72.7,3.9
113.0,70.6,3.3
109.6,67.1,5.6
108.9,60.9,6.1
108.2,55.0,5.3
106.9,55.2,7.0
107.6,59.2,8.7
105.2,61.7,13.6
102.3,62.2,11.9
101.3,67.5,10.6
101.4,65.2,10.0
100.6,57.4,8.5
96.1,55.0,11.8
96.0,53.4,12.8
94.8,49.6,15.9
94.7,49.2,15.6
91.6,54.4,15.8
91.1,57.3,17.1
91.4,57.1,15.4
91.2,60.6,15.7
91.4,61.3,18.7
92.9,61.0,16.6
93.1,61.4,15.1
96.1,63.1,13.9
96.5,59.3,12.6
94.3,55.4,12.1
95.3,51.9,16.2
94.3,49.7,16.1
94.6,44.8,18.5
92.8,44.1,19.0
89.1,45.8,19.6
85.9,42.6,22.6
85.6,41.5,22.5
81.6,39.2,22.1
79.2,38.8,26.8
78.7,37.9,25.5
77.4,41.5,29.2
77.5,42.1,32.0
76.0,46.9,29.7
77.2,48.4,26.9
74.7,50.7,25.0
75.4,46.1,24.6
74.5,45.7,25.8
73.0,41.9,24.0
73.9,38.4,25.4
73.7,34.9,24.8
72.2,34.1,26.8
72.8,33.4,28.5
73.4,36.6,26.8
74.4,39.0,31.1
72.0,40.7,32.2
71.5,44.6,31.0
71.0,46.8,27.9
69.0,42.5,28.2
69.3,42.0,32.7
71.0,41.6,30.0
71.1,37.9,29.9
71.6,36.4,25.1
70.0,38.6,24.9
70.4,38.7,23.3
72.5,38.6,28.3
73.6,44.6,31.3
77.4,48.3,28.8
81.0,51.8,23.7
83.0,52.7,22.1
83.8,57.0,17.3
87.4,55.4,16.9
86.5,49.3,16.9
87.5,45.6,17.6
87.6,43.7,15.6
91.5,41.8,11.6
91.1,37.8,13.1
90.1,39.0,19.8
90.6,47.2,14.3
91.5,51.2,15.8
92.6,53.2,8.7
91.5,56.3,6.0
91.3,62.6,4.7
97.1,58.8,4.5
98.8,55.4,5.7
100.6,53.0,3.1
99.4,52.9,4.3
100.1,50.6,3.0
100.2,50.2,5.5
101.3,54.9,5.7
99.3,54.1,3.2
98.1,53.7,6.1
98.4,53.6,3.6
97.8,54.4,3.7
95.8,51.5,3.4
93.3,51.7,2.4
90.4,50.8,0.7
92.2,48.6,5.5
91.4,49.0,4.3
90.8,48.0,3.4
89.6,45.0,3.2
89.0,44.5,3.0
87.1,43.7,3.9
86.5,41.6,0.9
84.7,40.4,4.2
85.4,43.7,10.1
87.4,45.5,7.8
87.4,48.9,6.6
87.8,47.1,5.1
85.7,47.8,3.1
85.7,44.3,1.8
83.7,38.3,2.8
84.5,35.5,2.1
84.0,35.2,2.5
84.5,36.1,4.1
85.9,39.1,1.5
83.2,44.5,4.1
83.0,45.2,3.2
81.8,45.5,4.1
84.1,47.9,3.9
84.8,46.9,4.5
84.1,46.6,0.4
83.9,45.9,1.0
82.5,44.7,1.7
82.6,42.5,1.2
81.8,38.9,0.9
81.0,38.6,1.1
79.3,39.1,0.1
78.4,40.0,3.1
78.9,41.5,4.5
76.8,42.3,5.1
78.2,42.0,5.0
74.9,37.5,3.7
75.5,35.7,3.7
75.0,33.0,3.0
73.7,32.6,3.3
72.7,30.6,4.0
70.6,34.2,4.0
66.6,33.5,3.1
64.8,31.1,5.1
63.4,32.2,2.3
62.1,31.4,6.2
61.9,30.3,3.8
58.8,27.5,4.3
56.4,26.3,3.9
58.6,24.5,4.4
59.4,27.9,9.3
60.2,26.2,11.9
59.0,31.6,14.0
57.9,34.2,12.6
58.9,36.2,16.0
59.0,34.5,12.5
58.3,36.2,14.0
58.7,34.4,13.0
57.4,33.0,15.1
57.6,31.5,14.4
56.8,31.5,13.4
56.9,30.8,12.0
58.1,32.3,12.4
56.6,33.1,12.5
57.4,33.8,12.9
58.2,36.0,11.8
58.1,34.1,14.3
57.6,30.7,14.9
58.6,30.7,13.6
60.0,30.5,15.9
63.4,28.1,16.1
63.9,30.1,21.5
64.6,34.8,26.8
67.1,37.7,24.0
67.9,39.6,24.6
68.2,43.7,25.4
69.6,43.3,30.8
72.5,43.5,27.4
73.9,44.4,21.8
76.6,46.6,20.0
77.6,47.6,16.4
78.8,49.4,13.8
79.7,50.0,9.4
80.8,49.7,6.1
81.3,44.2,5.0
82.1,40.6,9.7
81.9,38.8,12.4
81.7,36.1,9.6
81.0,35.2,12.1
79.5,36.2,11.0
79.1,37.9,10.9
76.3,35.3,12.2
74.6,35.5,11.9
73.3,34.7,13.8
71.5,35.9,13.5
71.5,33.1,15.1
70.5,39.7,17.6
72.0,41.1,16.5
72.6,44.3,17.4
71.1,43.4,17.0
70.1,45.3,19.4
69.7,39.7,21.3
69.0,38.5,21.6
72.7,36.7,19.8
71.9,35.4,20.3
72.1,31.6,21.9
69.8,32.4,23.1
72.4,33.8,26.4
75.3,35.4,23.9
75.2,40.5,22.9
72.9,44.3,23.2
68.3,43.5,23.5
64.8,39.6,25.9
66.7,38.2,25.9
68.2,36.1,28.5
68.6,35.8,29.1
68.2,38.1,30.7
65.7,38.0,31.8
66.4,36.5,32.5
64.2,32.8,32.7
61.2,29.5,34.6
59.4,27.5,38.1
58.4,29.8,39.4
57.6,28.5,37.4
55.6,30.6,38.0
54.1,33.2,41.8
53.5,34.6,43.3
53.1,33.7,43.2
54.6,33.5,49.5
53.4,34.6,46.0
52.9,34.8,46.1
52.2,32.9,45.3
52.7,32.9,48.3
52.7,31.8,46.0
50.9,28.7,45.7
49.8,26.0,46.0
50.7,28.0,46.3
49.8,27.0,46.9
48.8,27.6,44.3
47.6,29.2,46.8
46.9,29.7,48.2
47.8,30.1,47.5
47.3,30.9,45.1
46.7,29.5,42.3
46.7,31.9,40.9
48.5,33.5,44.8
50.0,37.3,38.8
49.3,37.8,34.5
49.5,39.6,36.9
52.0,41.6,30.8
51.9,42.2,26.1
52.7,37.9,25.4
51.5,36.8,2.3
49.8,36.0,2.7
49.0,32.0,1.3
47.0,29.5,0.4
45.7,27.2,4.0
43.1,24.7,4.0
41.9,24.3,2.7
40.6,22.9,3.8
38.2,22.5,2.3
36.2,22.6,0.4
33.8,23.6,1.5
31.8,21.6,3.2
31.7,20.8,5.4
31.2,20.5,3.2
30.6,22.0,4.9
29.5,21.8,4.5
28.5,22.4,4.0
26.5,20.7,4.1
26.2,17.8,4.8
27.2,15.0,4.7
26.0,13.7,5.8
26.8,14.1,5.4
26.3,15.3,5.9
25.1,18.2,4.2
25.3,20.4,2.8
25.9,20.2,0.6
26.2,17.8,0.5
25.6,16.4,4.6
26.7,15.7,3.4
27.0,15.6,1.9
27.7,15.4,0.3
26.2,16.1,0.7
25.7,17.6,0.6
25.2,16.3,0.3
25.7,14.3,1.6
25.7,13.6,0.6
25.8,14.1,3.1
27.1,15.0,2.1
26.5,15.7,1.1
26.1,17.7,4.2
26.4,20.7,4.1
26.6,23.4,1.6
26.3,22.4,2.6
26.3,21.7,5.6
25.3,19.1,5.2
26.1,16.2,4.3
27.4,12.8,4.9
27.8,13.2,5.9
28.0,12.4,5.5
27.4,13.7,5.0
27.7,15.3,5.8
26.3,15.9,6.2
26.8,15.6,6.1
25.8,18.4,4.2
24.8,18.0,6.2
25.0,17.3,4.9
25.2,16.9,5.0
25.3,14.7,5.2
24.6,13.2,4.6
26.2,14.3,4.9
26.3,17.0,2.7
25.8,18.7,2.0
24.8,20.1,1.5
24.4,20.9,1.1
25.4,19.2,1.4
25.8,15.3,2.8
25.6,14.9,3.2
25.8,15.9,1.6
23.5,14.7,3.5
23.6,15.8,3.8
23.8,18.3,2.0
23.6,16.9,1.6
23.4,15.1,0.3
22.5,16.3,0.1
22.2,14.1,0.6
22.0,12.7,1.5
21.4,14.0,2.7
20.6,14.7,4.3
21.4,15.2,2.1
22.1,17.3,1.9
21.7,17.7,1.1
21.8,17.2,0.9
20.9,15.0,0.8
20.9,11.9,1.1
21.2,11.3,0.6
20.1,10.4,1.5
19.8,8.9,1.7
19.1,10.4,2.7
19.0,12.7,2.8
19.1,13.5,4.2
18.4,14.6,4.4
18.5,15.2,4.6
18.4,14.6,5.9
20.0,13.4,8.7
20.6,12.5,10.4
21.8,13.0,7.2
22.3,13.5,6.4
21.9,15.2,6.7
22.4,16.2,4.9
21.9,17.7,2.1
22.3,18.1,1.5
22.3,17.1,1.5
22.6,17.7,2.8
23.2,17.1,5.6
22.5,16.0,7.3
23.1,16.2,7.8
22.7,16.8,7.3
22.2,15.4,6.2
22.8,16.6,4.0
22.8,15.6,3.4
23.0,13.4,0.7
22.7,11.3,0.9
21.4,11.4,1.2
21.2,9.9,0.3
20.3,9.1,1.9
20.4,11.1,4.8
19.8,13.0,5.1
19.8,13.7,7.1
20.3,14.9,4.9
19.2,17.2,3.7
19.9,16.6,1.5
19.8,16.4,0.0
20.0,14.5,1.3
18.9,11.9,1.9
19.9,11.0,1.4
19.5,10.3,0.3
19.7,9.5,0.1
18.5,9.8,0.5
17.1,10.4,1.2
17.1,9.7,2.4
16.4,9.4,4.4
16.2,10.9,3.2
16.1,11.8,1.7
16.1,10.6,0.7
15.6,12.0,0.4
15.4,12.0,2.1
16.6,11.6,0.3
17.6,12.7,0.8
16.9,13.8,1.3
16.5,13.2,0.3
15.3,13.2,0.0
14.8,11.7,0.8
15.3,9.4,0.4
15.9,8.5,0.6
16.1,8.0,0.7
16.0,6.9,0.0
16.4,7.2,0.7
15.9,8.9,1.2
15.6,9.3,2.2
15.5,10.8,2.7
15.7,12.9,3.9
15.7,14.2,3.5
16.8,14.2,2.7
18.3,13.7,3.4
19.5,14.5,2.2
21.0,13.7,0.9
22.0,13.5,0.6
22.8,15.0,2.5
23.0,16.1,0.2
22.7,15.5,0.0
22.1,14.5,0.3
22.9,14.4,2.0
23.6,13.6,1.4
24.3,12.8,1.7
24.1,13.4,0.6
