Ants,Larva,Food
765.7,302.0,81.8
769.9,305.9,85.1
767.8,305.5,84.0
768.2,309.4,88.4
765.5,304.3,88.5
763.3,304.5,90.1
763.2,303.0,88.8
764.7,302.3,90.7
759.8,299.8,89.2
759.0,299.0,89.7
765.0,296.6,94.0
759.3,296.9,95.5
760.6,296.0,95.4
757.7,298.6,100.1
759.5,296.6,109.3
758.1,301.9,109.7
758.3,301.4,117.3
760.6,303.4,116.6
763.8,307.8,118.8
761.9,314.3,120.4
762.7,311.5,122.9
760.6,308.9,125.6
764.2,313.4,128.9
762.9,311.5,136.2
764.8,307.3,135.6
765.4,306.1,136.0
761.5,307.1,138.4
759.3,308.6,138.5
761.6,310.2,138.8
760.5,310.5,139.4
753.1,313.5,141.8
757.0,323.6,140.6
756.3,316.5,137.3
758.5,312.8,141.1
757.7,312.1,147.7
753.9,309.8,148.7
756.4,304.4,151.8
756.2,304.0,154.1
752.5,304.8,158.2
752.0,307.2,156.9
751.4,309.9,159.0
742.3,310.6,156.8
743.9,310.5,160.1
740.5,311.8,161.4
735.8,313.9,163.1
737.1,308.9,173.6
736.6,311.2,170.0
727.6,311.4,172.6
722.1,312.2,172.1
722.0,310.8,175.7
718.2,314.6,178.2
719.7,313.8,181.0
719.0,320.3,182.6
723.0,323.4,180.2
720.6,322.4,186.7
718.9,321.3,191.0
716.8,323.3,197.7
721.4,320.9,196.4
723.6,317.0,201.3
719.4,317.7,204.8
716.3,323.5,207.2
720.7,329.4,209.2
724.2,332.4,204.6
723.4,333.7,211.0
725.0,333.2,215.0
732.5,328.4,216.6
739.4,322.7,216.1
748.2,322.7,216.1
751.0,322.4,217.5
756.9,326.4,220.9
759.8,333.1,219.9
759.6,335.1,220.2
765.7,330.8,219.7
768.8,327.5,230.4
775.7,327.7,226.8
788.3,325.8,230.3
790.8,325.8,235.2
790.7,330.4,234.8
789.7,336.6,232.0
787.3,334.2,235.6
794.2,332.2,237.7
792.8,335.3,239.2
794.3,334.0,238.6
791.9,335.3,236.0
783.8,342.0,239.1
781.0,341.7,242.0
780.1,337.6,242.2
774.2,340.9,241.5
774.7,340.6,239.4
773.0,336.8,240.5
765.7,337.5,245.1
761.5,339.5,242.8
760.0,336.7,242.1
756.4,330.4,245.2
750.7,333.8,245.1
744.0,336.1,249.4
741.1,338.9,247.3
737.4,337.3,255.0
731.6,340.3,260.9
732.2,343.3,256.3
730.1,336.8,255.8
722.4,335.8,251.8
718.8,330.6,256.1
718.4,331.5,253.1
723.3,329.5,253.2
719.6,331.8,251.7
711.6,335.1,245.5
706.0,343.2,246.3
707.6,343.3,245.2
704.3,342.4,244.8
706.1,344.6,245.0
705.4,342.2,243.9
704.9,342.6,249.0
705.9,344.9,246.3
710.1,351.1,247.4
709.6,353.7,246.3
712.4,355.3,248.3
714.1,352.1,253.5
724.7,353.0,255.5
736.7,351.3,256.6
738.6,344.5,251.4
740.3,345.9,256.0
735.9,346.1,256.5
739.8,348.9,258.7
747.6,343.8,257.4
747.3,346.7,260.3
752.3,347.4,262.2
751.6,345.9,265.8
758.9,345.3,265.6
759.5,346.7,269.6
761.2,344.6,266.5
757.4,347.4,269.1
761.8,354.5,270.0
767.1,355.0,271.7
762.1,351.9,268.3
754.5,352.7,270.5
748.8,349.7,270.3
749.7,345.3,272.1
755.1,340.2,276.5
754.3,340.4,273.0
755.1,341.7,272.5
754.8,341.9,272.8
748.3,345.6,274.9
743.7,349.5,274.4
741.5,351.0,273.4
737.8,350.5,276.3
738.1,355.7,272.6
737.1,356.2,273.0
737.7,355.5,267.2
731.6,351.9,265.1
728.1,352.6,265.1
724.5,349.2,266.6
723.4,350.9,267.2
712.6,351.6,267.4
711.2,353.6,268.1
711.0,348.6,270.0
713.7,350.3,270.1
709.6,349.9,272.5
708.4,347.1,275.3
703.7,347.8,277.4
702.3,351.5,277.9
702.2,351.7,278.4
703.8,354.7,276.1
701.6,356.8,276.1
702.3,356.6,274.2
704.6,355.9,274.4
701.5,352.5,277.7
702.1,351.9,278.9
703.7,350.8,278.3
704.7,352.0,279.0
707.7,354.5,276.3
708.5,355.4,278.0
707.0,358.5,279.5
706.6,359.8,274.3
702.1,369.3,271.2
705.3,369.6,273.0
704.2,370.7,272.2
709.5,369.3,272.5
710.3,367.6,272.8
711.3,358.1,274.0
712.1,351.7,277.1
719.7,354.9,275.7
724.0,356.0,273.7
726.6,360.4,274.7
724.0,368.6,275.3
716.2,375.7,275.3
714.0,372.2,276.7
712.7,375.4,274.1
712.3,374.6,274.9
712.7,370.0,278.4
709.8,362.8,280.5
708.4,361.9,279.7
703.5,358.6,280.8
708.2,362.3,281.9
699.9,367.9,282.6
694.9,371.3,283.6
693.0,375.1,287.6
692.2,380.8,283.9
688.2,375.7,280.0
689.1,366.0,282.1
689.6,373.8,288.3
687.6,369.1,284.6
687.4,364.1,285.2
690.5,364.4,285.2
688.3,369.4,285.9
692.3,367.6,283.5
688.0,366.4,285.1
692.3,371.1,285.7
694.6,371.4,290.0
690.7,377.5,290.1
689.2,373.2,294.3
685.6,379.0,293.1
