Ants,Larva,Food
149.5,77.2,2.9
149.5,80.0,2.2
149.5,79.0,1.4
147.4,77.8,2.2
145.6,76.7,2.7
147.2,75.3,1.7
147.8,72.5,3.1
146.9,72.1,2.1
145.7,74.5,2.0
146.5,72.0,1.0
146.0,71.4,3.8
147.8,74.4,0.8
148.7,74.2,2.4
151.1,75.1,2.0
150.8,79.3,3.0
151.8,82.0,2.7
152.5,79.4,1.2
153.1,81.2,1.9
154.4,77.9,1.1
153.7,77.2,2.1
153.2,76.0,1.8
153.9,76.9,1.6
151.9,72.4,1.8
151.1,72.7,3.1
153.4,76.2,5.0
157.0,78.5,1.4
156.7,76.8,2.1
154.4,81.9,2.0
156.9,82.2,2.4
159.9,82.4,2.2
158.3,79.6,0.9
156.5,82.3,2.3
156.4,80.0,2.3
157.9,79.4,1.5
160.6,77.7,1.2
158.9,77.3,2.6
157.9,77.2,2.4
158.8,78.7,3.1
158.8,79.3,2.3
157.1,80.7,1.8
157.0,81.9,2.5
158.3,82.5,2.0
157.7,82.3,1.6
159.3,82.4,1.8
158.0,83.5,2.6
160.4,81.3,3.6
160.7,84.0,1.8
159.9,84.6,0.9
159.3,84.0,2.8
162.2,81.7,1.7
159.9,82.8,1.8
160.8,79.6,1.6
160.6,77.2,0.8
159.2,75.3,2.3
158.2,74.6,2.2
156.8,74.5,2.1
155.1,76.0,1.4
153.3,76.2,2.5
151.4,79.2,2.0
151.6,79.7,1.9
150.3,78.5,2.2
151.3,78.3,0.4
151.0,77.0,2.2
152.0,76.6,0.9
149.6,74.8,2.2
148.8,76.0,1.6
148.9,75.4,2.5
151.2,77.5,1.0
152.1,76.6,1.6
151.5,78.5,1.1
150.7,77.9,1.8
149.4,77.8,1.7
148.8,76.0,2.8
150.9,76.6,2.7
150.8,74.5,1.5
150.1,74.7,2.2
150.5,75.2,2.5
149.3,78.3,2.0
150.1,76.6,1.4
149.1,78.2,2.7
150.4,79.5,2.4
150.6,78.2,1.2
149.1,74.9,1.7
148.2,75.4,2.1
150.8,73.6,2.7
150.1,72.9,2.9
148.2,73.1,2.2
149.8,74.4,2.8
153.5,74.0,3.0
154.3,75.0,2.7
154.3,76.2,2.5
155.6,76.4,2.0
157.2,77.8,3.2
156.6,80.6,1.8
155.9,80.9,2.0
156.0,79.7,3.3
153.1,79.7,1.8
149.7,77.4,0.7
150.8,73.3,1.9
152.8,73.2,1.4
151.1,73.0,1.8
150.1,72.8,4.2
149.7,75.0,0.9
148.1,75.4,1.6
150.1,76.4,2.5
151.6,75.6,3.6
152.9,78.0,1.8
151.5,76.9,1.2
149.8,77.7,1.9
149.2,76.1,2.3
148.0,77.9,3.8
148.7,78.4,1.8
147.7,80.3,2.4
148.2,80.8,1.4
146.8,80.5,1.3
147.0,78.6,2.5
148.4,73.3,3.4
147.2,71.8,2.0
147.8,70.9,1.4
146.5,69.5,2.1
147.6,72.7,2.4
148.6,75.1,3.3
147.3,77.0,2.9
145.7,78.6,2.4
145.4,78.9,2.5
149.0,79.1,0.8
148.0,77.4,3.3
150.9,76.6,1.9
154.3,76.0,1.8
152.8,77.7,2.2
153.0,75.1,2.4
151.1,77.8,2.5
153.4,77.3,2.9
155.6,78.4,1.4
154.4,75.5,2.7
157.0,76.5,2.7
155.2,77.7,2.2
157.0,78.8,1.2
156.1,78.6,2.2
157.1,81.4,2.5
156.8,80.0,1.6
155.3,78.2,1.8
156.1,78.1,1.7
153.9,77.1,2.3
154.0,77.2,3.1
153.3,77.9,3.5
154.0,80.1,2.7
155.6,80.8,2.2
156.9,81.8,2.3
156.3,81.2,2.2
157.4,78.6,1.8
156.7,75.5,1.5
156.6,74.8,1.8
157.2,76.0,3.9
155.4,77.1,2.9
153.0,80.5,2.4
152.3,82.6,2.5
153.4,84.7,2.8
153.8,81.0,1.0
154.1,79.3,2.4
154.4,77.4,2.3
156.6,74.7,1.0
156.8,72.9,2.3
157.4,74.9,1.4
156.7,75.7,2.4
158.9,77.3,2.8
157.7,81.5,1.5
156.8,83.5,1.5
154.1,82.9,1.5
153.4,80.9,1.5
153.7,80.6,2.1
155.8,77.1,2.2
154.3,77.7,1.4
154.4,75.4,2.3
152.5,77.9,1.3
153.0,78.1,2.3
153.4,81.1,1.6
155.7,80.5,1.7
153.3,81.2,2.0
154.2,81.4,2.5
155.7,80.7,0.8
153.7,76.1,1.9
152.9,76.3,1.2
152.4,77.6,2.0
153.1,75.7,2.3
153.2,76.5,1.3
152.6,79.1,2.1
153.0,79.1,2.7
153.6,78.9,2.2
151.1,78.5,1.2
149.7,78.9,2.1
151.0,76.5,1.7
150.5,75.8,2.8
150.7,77.1,1.8
149.0,75.5,3.1
151.2,75.2,2.7
150.3,77.8,3.0
148.2,76.7,2.8
147.9,76.7,1.1
147.5,77.7,2.9
147.4,76.4,1.8
146.6,74.9,1.5
146.9,75.7,2.4
148.8,75.7,1.9
147.8,73.6,2.9
148.4,76.4,1.8
149.9,76.4,1.8
148.0,78.5,1.2
148.6,74.5,2.0
150.2,77.3,3.1
151.5,75.9,1.1
151.6,75.1,1.6
151.7,74.7,0.8
150.0,77.7,4.3
151.7,79.0,1.1
151.2,76.7,1.9
149.9,78.0,3.3
